Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,132046206,1691.5315279431204,4137971,53.00802363238159,517585,2867242,36.729796244525865,69916,0.8956343532329218,9264,
United States of America,Americas,30475874,9207.14,442811,133.78,62750,552125,166.8,7074,2.14,356,Community transmission
Brazil,Americas,13013601,6122.34,439986,206.99,28645,332752,156.55,18886,8.89,1319,Community transmission
India,South-East Asia,12801785,927.66,652450,47.28,115736,166177,12.04,3709,0.27,630,Clusters of cases
France,Europe,4764504,7299.29,253634,388.57,7123,96673,148.1,1910,2.93,413,Community transmission
Russian Federation,Europe,4606162,3156.32,61067,41.85,8294,101480,69.54,2630,1.8,374,Clusters of cases
The United Kingdom,Europe,4364533,6429.21,22793,33.58,2379,126882,186.9,212,0.31,20,Community transmission
Italy,Europe,3686707,6097.58,125695,207.89,7763,111747,184.82,2868,4.74,421,Clusters of cases
Turkey,Europe,3579185,4243.8,301305,357.25,49584,32667,38.73,1282,1.52,211,Community transmission
Spain,Europe,3317948,7096.49,36174,77.37,4103,75911,162.36,237,0.51,10,Community transmission
Germany,Europe,2910445,3473.75,101572,121.23,9677,77401,92.38,1059,1.26,298,Community transmission
Poland,Europe,2471617,6530.62,149900,396.07,14908,55703,147.18,2658,7.02,638,Community transmission
Colombia,Americas,2456409,4827.57,66630,130.95,10190,64293,126.35,1214,2.39,199,Community transmission
Argentina,Americas,2407159,5326.07,84548,187.07,13667,56471,124.95,860,1.9,272,Community transmission
Mexico,Americas,2251705,1746.42,23863,18.51,1247,204399,158.53,2573,2,252,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1963394,2337.57,88160,104.96,17430,63506,75.61,937,1.12,174,Community transmission
Ukraine,Europe,1784579,4080.55,110411,252.46,15415,35498,81.17,2673,6.11,481,Community transmission
Peru,Americas,1590209,4822.93,57088,173.14,7842,53138,161.16,1503,4.56,261,Community transmission
Czechia,Europe,1560777,14574.47,28445,265.62,5532,27329,255.2,908,8.48,160,Community transmission
South Africa,Africa,1552853,2618.26,6118,10.32,437,53032,89.42,244,0.41,37,Community transmission
Indonesia,South-East Asia,1542516,563.94,36741,13.43,4549,41977,15.35,1223,0.45,162,Community transmission
Netherlands,Europe,1313007,7662.78,48186,281.22,5592,16649,97.16,142,0.83,20,Community transmission
Chile,Americas,1037780,5428.8,48288,252.6,5168,23734,124.16,627,3.28,57,Community transmission
Canada,Americas,1014373,2687.64,42658,113.02,6267,23118,61.25,218,0.58,43,Community transmission
Romania,Europe,983217,5110.89,36570,190.1,5231,24386,126.76,977,5.08,196,Community transmission
Belgium,Europe,904673,7805.89,18944,163.46,0,23247,200.58,236,2.04,0,Community transmission
Iraq,Eastern Mediterranean,887291,2205.96,43031,106.98,7300,14535,36.14,249,0.62,33,Community transmission
Sweden,Europe,834993,8267.86,38575,381.96,3111,13533,134,16,0.16,0,Community transmission
Israel,Europe,834733,9643.92,2383,27.53,377,6256,72.28,70,0.81,6,Community transmission
Portugal,Europe,824368,8084.65,3263,32,1033,16887,165.61,42,0.41,8,Clusters of cases
Philippines,Western Pacific,812760,741.7,71600,65.34,9373,13817,12.61,626,0.57,382,Community transmission
Pakistan,Eastern Mediterranean,696184,315.17,32984,14.93,3953,14924,6.76,568,0.26,103,Community transmission
Hungary,Europe,693676,7180.65,41243,426.93,1933,22409,231.97,1672,17.31,311,Community transmission
Bangladesh,South-East Asia,651652,395.69,45715,27.76,7213,9384,5.7,390,0.24,66,Community transmission
Jordan,Eastern Mediterranean,645449,6325.99,40442,396.37,6005,7383,72.36,636,6.23,100,Community transmission
Serbia,Europe,625773,8986.13,30284,434.88,4398,5537,79.51,267,3.83,40,Community transmission
