"RS","NAME","INSGESAMT","INSG_M","INSG_W","AUSL_INSG","AUSL_M","AUSL_W","IIU6","IMU6","IWU6","DIU6","DMU6","DWU6","AIU6","AMU6","AWU6","II6BU15","IM6BU15","IW6BU15","DI6BU15","DM6BU15","DW6BU15","AI6BU15","AM6BU15","AW6BU15","II15BU65","IM15BU65","IW15BU65","DI15BU65","DM15BU65","DW15BU65","AI15BU65","AM15BU65","AW15BU65","II65UM","IM65UM","IW65UM","DI65UM","DM65UM","DW65UM","AI65UM","AM65UM","AW65UM","ANT_AI","ANT_AM","ANT_AW","ANT_AIU6","ANT_AMU6","ANT_AWU6","ANT_AI6BU15","ANT_AM6BU15","ANT_AW6BU15","ANT_AI15BU65","ANT_AM15BU65","ANT_AW15BU65","ANT_AI65UM","ANT_AM65UM","ANT_AW65UM","SOZ_INS","SOZ_AUS","BESCHQ_INS","BESCHQ_AUS","ARBLOS_INSG","ARBLOS_AUSL","BESCH_AUS_ABSOLUT","ARBSUCH_INSG_ABSOLUT","ARBSUCH_FLUMI_ABSOLUT","ALQ_AUSL","ANT_ARBS_FLUMI","ANT_SOZ_AUS","kurs_begon","kurs_beend","kurs_tnber","kurs_tln","AZR_INSG","AZR_GASTARB","AZR_EU28_AUSL","AZR_OST2004","AZR_NICHTEU_AUSL","AZR_SYRIEN","AZR_AFGHANISTAN","AZR_IRAK","AZR_EUNIEDERL","AZR_UNBEFR","AZR_BEFR","AZR_ERWERB","AZR_BLUE_C","AZR_GESTATT","AZR_DULD","AZR_U6","AZR_6BU15","AZR_15BU65","AZR_65UM","AZR_ADU2","AZR_AD2BU10","AZR_AD10BU25","AZR_AD25UM","AZR_ANT_GASTARB","AZR_ANT_EU28_AUSL","AZR_ANT_OST2004","AZR_ANT_NICHTEU_AUSL","AZR_ANT_SYRIEN","AZR_ANT_AFGHANISTAN","AZR_ANT_IRAK","AZR_ANT_EUNIEDERL","AZR_ANT_UNBEFR","AZR_ANT_BEFR","AZR_ANT_ERWERB","AZR_ANT_BLUE_C","AZR_ANT_GESTATT","AZR_ANT_DULD","AZR_ANT_U6","AZR_ANT_6BU15","AZR_ANT_15BU65","AZR_ANT_65UM","AZR_ANT_ADU2","AZR_ANT_AD2BU10","AZR_ANT_AD10BU25","AZR_ANT_AD25UM","N_Sch_I_Lag","N_Sch_O","N_Sch_J","N_Sch_N","N_Sch_SY","N_Sch_AF","N_Sch_IQ","N_Sch_RU","N_Sch_IR","N_Sch_XK","A2_Sch_i","A_Sch_O","A_Sch_J","A_Sch_N","A_Sch_SY","A_Sch_AF","A_Sch_IQ","A_Sch_RU","A_Sch_IR","A_Sch_XK","Sch_I_lag"
01001,"Flensburg, Stadt",90164,44904,45260,13711,7639,6072,5150,2666,2484,4044,2114,1930,1106,552,554,6822,3488,3334,5690,2899,2791,1132,589,543,60031,30832,29199,49581,24787,24794,10450,6045,4405,18161,7918,10243,17138,7465,9673,1023,453,570,15.2,17,13.4,21.5,20.7,22.3,16.6,16.9,16.3,17.4,19.6,15.1,5.6,5.7,5.6,31959,3612,53.4,36.8,4136,976,4250,7821,1146,17.1,14.7,11.3,42,35,529,498,16685,2270,7750,4315,8935,2535,835,805,8235,1645,4725,170,50,170,330,1250,1310,12885,1240,2900,9600,2155,2025,13.6,46.4,25.9,53.6,15.2,5,4.8,49.4,9.9,28.3,1,0.3,1,2,7.5,7.9,77.2,7.4,17.4,57.5,12.9,12.1,3170,230,3110,345,1675,515,535,50,125,30,4.1,6.2,84.4,9.4,45.5,14,14.5,1.4,3.4,0.8,16.2
01002,"Kiel, Stadt",246794,120198,126596,29586,15239,14347,13389,6807,6582,11161,5701,5460,2228,1106,1122,17368,8904,8464,15028,7753,7275,2340,1151,1189,169760,84541,85219,147068,72573,74495,22692,11968,10724,46277,19946,26331,43951,18932,25019,2326,1014,1312,12,12.7,11.3,16.6,16.2,17,13.5,12.9,14,13.4,14.2,12.6,5,5.1,5,90876,7796,53.2,35.4,10009,2827,9945,20495,2892,21.6,14.1,8.6,100,92,1544,1139,31230,6910,7740,5370,23485,5395,890,2380,8265,5990,12850,525,105,615,1030,2285,2710,23650,2580,3685,16775,5915,4850,22.1,24.8,17.2,75.2,17.3,2.8,7.6,26.5,19.2,41.1,1.7,0.3,2,3.3,7.3,8.7,75.7,8.3,11.8,53.7,18.9,15.5,7990,715,6955,780,3660,665,1455,420,295,40,3.4,8.5,82.3,9.2,43.3,7.9,17.2,5,3.5,0.5,5.8
01003,"Lübeck, Stadt",216530,104032,112498,22988,11902,11086,11238,5834,5404,9700,5022,4678,1538,812,726,15999,8158,7841,14338,7348,6990,1661,810,851,138758,68800,69958,121322,59581,61741,17436,9219,8217,50535,21240,29295,48182,20179,28003,2353,1061,1292,10.6,11.4,9.9,13.7,13.9,13.4,10.4,9.9,10.9,12.6,13.4,11.7,4.7,5,4.4,79044,6715,56.6,40.2,7981,1894,8097,16585,1667,8.5,10.1,8.5,74,76,963,808,26140,7505,8910,5630,17230,2550,945,1140,9285,6090,6880,390,85,565,930,1570,1980,19630,2960,2725,12365,5235,5815,28.7,34.1,21.5,65.9,9.8,3.6,4.4,35.5,23.3,26.3,1.5,0.3,2.2,3.6,6,7.6,75.1,11.3,10.4,47.3,20,22.2,5450,740,4375,670,1910,730,685,345,390,25,2.7,12.8,75.6,11.6,33,12.6,11.8,6,6.7,0.4,6.1
01004,"Neumünster, Stadt",80196,39723,40473,10220,5746,4474,4312,2254,2058,3440,1784,1656,872,470,402,6540,3366,3174,5566,2835,2731,974,531,443,51220,26281,24939,43543,21839,21704,7677,4442,3235,18124,7822,10302,17427,7519,9908,697,303,394,12.7,14.5,11.1,20.2,20.9,19.5,14.9,15.8,14,15,16.9,13,3.8,3.9,3.8,29611,2607,58.3,37.8,3282,766,3024,6228,459,3.8,7.4,8.8,21,19,455,221,11575,3035,4340,3795,7235,1320,670,490,4565,2195,2540,180,45,515,195,860,1180,8745,795,1805,6365,1610,1800,26.2,37.5,32.8,62.5,11.4,5.8,4.2,39.4,19,21.9,1.6,0.4,4.4,1.7,7.4,10.2,75.6,6.9,15.6,55,13.9,15.6,2635,815,1395,515,800,480,330,95,180,40,3.4,29.9,51.1,18.9,29.3,17.6,12.1,3.5,6.6,1.5,3.6
01051,"Dithmarschen",133193,65718,67475,7936,4332,3604,6518,3293,3225,5715,2877,2838,803,416,387,10446,5357,5089,9550,4893,4657,896,464,432,82929,41829,41100,77098,38566,38532,5831,3263,2568,33300,15239,18061,32894,15050,17844,406,189,217,6,6.6,5.3,12.3,12.6,12,8.6,8.7,8.5,7,7.8,6.2,1.2,1.2,1.2,48095,2477,57.8,44.2,3874,636,3009,7330,736,18.4,10,5.2,19,22,842,400,9055,1410,3925,3125,5130,1325,560,295,4060,940,2860,105,30,305,430,860,1020,6685,490,1355,5400,1340,960,15.6,43.3,34.5,56.7,14.6,6.2,3.3,44.8,10.4,31.6,1.2,0.3,3.4,4.7,9.5,11.3,73.8,5.4,15,59.6,14.8,10.6,2700,375,1955,365,990,465,205,100,145,30,2,13.9,72.5,13.5,36.7,17.3,7.6,3.7,5.4,1.1,-0.2
01053,"Herzogtum Lauenburg",198019,97165,100854,16267,8614,7653,11468,5838,5630,10206,5163,5043,1262,675,587,16899,8734,8165,15351,7929,7422,1548,805,743,125134,62766,62368,112919,56233,56686,12215,6533,5682,44518,19827,24691,43276,19226,24050,1242,601,641,8.2,8.9,7.6,11,11.6,10.4,9.2,9.2,9.1,9.8,10.4,9.1,2.8,3,2.6,74526,5009,59.6,42.9,4928,1225,6000,9088,1206,17.3,13.3,6.7,28,25,863,609,17505,4620,6655,4945,10850,1860,1235,500,7025,3430,4730,230,40,545,750,1330,1730,13135,1310,2310,9100,2835,3260,26.4,38,28.2,62,10.6,7.1,2.9,40.1,19.6,27,1.3,0.2,3.1,4.3,7.6,9.9,75,7.5,13.2,52,16.2,18.6,4150,715,3305,570,1405,990,435,180,265,125,2.3,15.6,72.1,12.4,30.6,21.6,9.5,3.9,5.8,2.7,10.5
01054,"Nordfriesland",165951,81286,84665,12124,6583,5541,8302,4283,4019,7388,3791,3597,914,492,422,12566,6482,6084,11522,5925,5597,1044,557,487,104652,52412,52240,95233,47187,48046,9419,5225,4194,40431,18109,22322,39684,17800,21884,747,309,438,7.3,8.1,6.5,11,11.5,10.5,8.3,8.6,8,9,10,8,1.8,1.7,2,62101,4304,59.4,47.5,4955,980,4867,8409,801,15.9,9.5,6.9,16,14,698,341,12920,1825,6135,4330,6785,1340,735,550,6435,1180,3390,255,25,390,690,800,1110,10035,975,1780,7125,2130,1880,14.1,47.5,33.5,52.5,10.4,5.7,4.3,49.8,9.1,26.2,2,0.2,3,5.3,6.2,8.6,77.7,7.5,13.8,55.1,16.5,14.6,3350,540,2280,520,1120,640,465,135,130,25,2,16.2,68.3,15.6,33.5,19.2,13.9,4,3.9,0.7,-0.3
01055,"Ostholstein",200539,96689,103850,11690,6061,5629,8831,4413,4418,8009,4028,3981,822,385,437,14600,7441,7159,13489,6850,6639,1111,591,520,121381,59829,61552,112499,55140,57359,8882,4689,4193,55727,25006,30721,54852,24610,30242,875,396,479,5.8,6.3,5.4,9.3,8.7,9.9,7.6,7.9,7.3,7.3,7.8,6.8,1.6,1.6,1.6,72304,4307,59.3,49.2,5673,1040,5420,10081,877,15.9,8.7,6,17,13,916,596,12930,2420,5350,3655,7580,1600,665,675,5625,1530,3640,225,25,430,695,800,1175,9905,1045,1815,6945,2095,2075,18.7,41.4,28.3,58.6,12.4,5.1,5.2,43.5,11.8,28.2,1.7,0.2,3.3,5.4,6.2,9.1,76.6,8.1,14,53.7,16.2,16,3370,585,2120,635,1085,560,520,170,160,50,1.7,17.5,63.5,19,32.5,16.8,15.6,5.1,4.8,1.5,-0.9
01056,"Pinneberg",316103,155123,160980,35159,18424,16735,17982,9210,8772,15632,7998,7634,2350,1212,1138,26740,13639,13101,23874,12171,11703,2866,1468,1398,201216,101369,99847,174152,86912,87240,27064,14457,12607,70165,30905,39260,67286,29618,37668,2879,1287,1592,11.1,11.9,10.4,13.1,13.2,13,10.7,10.8,10.7,13.5,14.3,12.6,4.1,4.2,4.1,126855,11989,63.2,46.5,7853,2500,13853,15098,2224,9.5,14.7,9.5,70,47,1801,1225,39225,11980,14630,9370,24595,3755,2415,825,15710,8705,10650,760,140,650,1175,2450,3355,29760,3665,4415,18480,7225,9110,30.5,37.3,23.9,62.7,9.6,6.2,2.1,40.1,22.2,27.2,1.9,0.4,1.7,3,6.2,8.6,75.9,9.3,11.3,47.1,18.4,23.2,7920,945,6530,910,2750,1975,680,355,610,120,2.7,11.3,77.8,10.8,32.8,23.5,8.1,4.2,7.3,1.4,5.9
01057,"Plön",128686,62487,66199,6302,3383,2919,6422,3290,3132,5915,3012,2903,507,278,229,10234,5130,5104,9537,4775,4762,697,355,342,78050,38726,39324,73376,36137,37239,4674,2589,2085,33980,15341,18639,33556,15180,18376,424,161,263,4.9,5.4,4.4,7.9,8.4,7.3,6.8,6.9,6.7,6,6.7,5.3,1.2,1,1.4,45586,1721,58.2,37.3,2638,464,2106,5294,670,18.9,12.7,3.8,7,8,549,348,6590,1050,1930,1180,4655,1115,410,400,2130,920,2145,70,10,265,335,485,700,4875,530,705,3715,1210,960,15.9,29.3,17.9,70.6,16.9,6.2,6.1,32.3,14,32.5,1.1,0.2,4,5.1,7.4,10.6,74,8,10.7,56.4,18.4,14.6,2485,355,1835,285,855,385,315,105,95,40,1.9,14.3,74,11.5,34.5,15.5,12.7,4.2,3.8,1.6,-0.2
