Entity,Code,Year,Renewables (TWh – sub method)
Africa,,1965,38.627
Africa,,1966,43.083
Africa,,1967,44.974
Africa,,1968,52.607
Africa,,1969,61.391
Africa,,1970,76.751
Africa,,1971,72.715
Africa,,1972,82.773
Africa,,1973,87.544
Africa,,1974,99.561
Africa,,1975,105.25
Africa,,1976,116.619
Africa,,1977,128.105
Africa,,1978,129.172
Africa,,1979,138.24
Africa,,1980,134.775
Africa,,1981,140.03
Africa,,1982,140.117
Africa,,1983,126.326
Africa,,1984,124.233
Africa,,1985,138.108
Africa,,1986,143.901
Africa,,1987,138.096
Africa,,1988,150.61
Africa,,1989,158.037
Africa,,1990,161.168
Africa,,1991,170.665
Africa,,1992,163.013
Africa,,1993,160.001
Africa,,1994,162.285
Africa,,1995,168.878
Africa,,1996,176.621
Africa,,1997,181.246
Africa,,1998,189.936
Africa,,1999,201.112
Africa,,2000,215.845
Africa,,2001,230.803
Africa,,2002,241.104
Africa,,2003,234.456
Africa,,2004,246.842
Africa,,2005,249.877
Africa,,2006,259.034
Africa,,2007,264.448
Africa,,2008,268.777
Africa,,2009,275.525
Africa,,2010,296.638
Africa,,2011,304.202
Africa,,2012,305.409
Africa,,2013,323.915
Africa,,2014,347.004
Africa,,2015,353.209
Africa,,2016,350.675
Africa,,2017,377.712
Africa,,2018,404.903
Africa,,2019,441.256
Algeria,DZA,1965,1.111
Algeria,DZA,1966,0.986
Algeria,DZA,1967,1.139
Algeria,DZA,1968,1.564
Algeria,DZA,1969,1.003
Algeria,DZA,1970,1.611
Algeria,DZA,1971,0.917
Algeria,DZA,1972,1.375
Algeria,DZA,1973,2.089
Algeria,DZA,1974,1.381
Algeria,DZA,1975,0.911
Algeria,DZA,1976,1.081
Algeria,DZA,1977,0.747
Algeria,DZA,1978,0.694
Algeria,DZA,1979,0.808
Algeria,DZA,1980,0.714
Algeria,DZA,1981,1.017
Algeria,DZA,1982,1.331
Algeria,DZA,1983,0.653
Algeria,DZA,1984,1.256
Algeria,DZA,1985,1.794
Algeria,DZA,1986,0.694
Algeria,DZA,1987,1.386
Algeria,DZA,1988,0.508
Algeria,DZA,1989,0.628
Algeria,DZA,1990,0.375
Algeria,DZA,1991,0.814
Algeria,DZA,1992,0.553
Algeria,DZA,1993,0.981
Algeria,DZA,1994,0.461
Algeria,DZA,1995,0.536
Algeria,DZA,1996,0.375
Algeria,DZA,1997,0.208
Algeria,DZA,1998,0.597
Algeria,DZA,1999,0.564
Algeria,DZA,2000,0.15
Algeria,DZA,2001,0.19
Algeria,DZA,2002,0.156
Algeria,DZA,2003,0.722
Algeria,DZA,2004,0.679
Algeria,DZA,2005,1.494
Algeria,DZA,2006,0.582
Algeria,DZA,2007,0.6
Algeria,DZA,2008,0.747
Algeria,DZA,2009,0.897
Algeria,DZA,2010,0.475
Algeria,DZA,2011,1.027
Algeria,DZA,2012,1.071
Algeria,DZA,2013,0.327
Algeria,DZA,2014,0.646
Algeria,DZA,2015,0.562
Algeria,DZA,2016,0.845
Algeria,DZA,2017,1.448
Algeria,DZA,2018,1.814
Algeria,DZA,2019,1.923
Argentina,ARG,1965,3.403
Argentina,ARG,1966,3.447
Argentina,ARG,1967,3.531
Argentina,ARG,1968,4.161
Argentina,ARG,1969,3.733
Argentina,ARG,1970,4.452
Argentina,ARG,1971,4.427
Argentina,ARG,1972,4.357
Argentina,ARG,1973,8.453
Argentina,ARG,1974,14.106
Argentina,ARG,1975,14.6
Argentina,ARG,1976,14.064
Argentina,ARG,1977,16.166
Argentina,ARG,1978,21.684
Argentina,ARG,1979,29.846
Argentina,ARG,1980,42.306
Argentina,ARG,1981,40.999
Argentina,ARG,1982,49.136
Argentina,ARG,1983,51.545
Argentina,ARG,1984,55.493
Argentina,ARG,1985,57.637
Argentina,ARG,1986,58.656
Argentina,ARG,1987,60.97
Argentina,ARG,1988,42.095
Argentina,ARG,1989,36.346
Argentina,ARG,1990,49.952
Argentina,ARG,1991,45.335
Argentina,ARG,1992,55.225
Argentina,ARG,1993,65.73
Argentina,ARG,1994,78.034
Argentina,ARG,1995,79.371
Argentina,ARG,1996,73.073
Argentina,ARG,1997,93.028
Argentina,ARG,1998,91.44
Argentina,ARG,1999,75.598
Argentina,ARG,2000,96.511
Argentina,ARG,2001,117.46
Argentina,ARG,2002,116.233
Argentina,ARG,2003,109.444
Argentina,ARG,2004,98.469
Argentina,ARG,2005,108.929
Argentina,ARG,2006,120.981
Argentina,ARG,2007,104.599
Argentina,ARG,2008,102.778
Argentina,ARG,2009,111.625
Argentina,ARG,2010,116.988
Argentina,ARG,2011,117.277
Argentina,ARG,2012,113.155
